access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
,Wenatchee National Forest,USFS,http://www.fs.usda.gov/okawen,,1901,2,,,,United States,2012-04-05,Wenatchee National Forest,,,,,,,,,,http://www.firelookout.com/wa/alpine.html,,0,,0,,,47.81211,3,,1,-120.86597,Alpine Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Wenatchee National Forest,USFS,http://www.fs.usda.gov/okawen,,1256,2,,,,United States,2012-04-05,Wenatchee National Forest,,,,,,,,,,http://www.firelookout.com/wa/domke.html,,0,,0,,,48.17776,2,,1,-120.56600,Domke Mountain Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Wenatchee National Forest,USFS,http://www.fs.usda.gov/okawen,,1784,2,,,,United States,2012-04-05,Wenatchee National Forest,,,,,,,,,,http://www.firelookout.com/wa/thorp.html,,0,,0,,,47.37079,3,,1,-121.20857,Thorp Mountain Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Wenatchee National Forest,USFS,http://www.fs.usda.gov/okawen,,1634,2,,,,United States,2012-04-05,Wenatchee National Forest,,,,,,,,,,http://www.firelookout.com/wa/redtop.html,,0,,0,,,47.30172,3,,1,-120.76081,Red Top Lookout,,,,,,,0,1,Cascade Range,,,,,,Washington,1,,Fire Lookout
,Continental Divide Dog Sled Adventures,,http://www.dogsledadventures.com/,,2743,2,,,,United States,2012-11-18,Shoshone National Forest,0,,,,,,,,,http://www.dogsledadventures.com/tours.htm,,0,,0,,,43.70557,1,http://www.dogsledadventures.com/images/trailmap_wh.jpg,,-110.01265,The Yurt,,,,,,http://www.dogsledadventures.com/images/yurt_sm.jpg,1,1,Wind River Range,1,,,,,Wyoming,1,,Yurt
,Vacation Yurt Rental,,http://www.vacationyurtrental.com/,,2816,0,4,4,4,United States,2012-10-26,,0,160,135,,,,,0,0,http://www.vacationyurtrental.com/,1,0,0,0,0,1,38.99818,3,,,-105.00817,Yurtopia Yurt,0.0,,,,,http://sphotos-a.xx.fbcdn.net/hphotos-ash3/74803_129055083818004_5071639_n.jpg,1,1,Front Range,1,0,0,,0.0,Colorado,1,,Yurt
2WD Road,Teton Backcountry Guides,,http://www.skithetetons.com/,,,1,6,6,6,United States,2012-11-18,,0,180,95,2,,,,1,0,http://www.skithetetons.com/familyhut.html,1,1,0,0,0,1,43.90284,1,,,-110.90127,Rammel Mountain Family Hut,0.0,1,1,,,http://www.skithetetons.com/data/images/rm1.jpg,1,1,Teton Range,1,0,0,,0.8,Wyoming,1,,Yurt
,10th Mountain Division Hut Association,,http://www.huts.org/,,3343,1,10,6,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/benedict.html,0,0,1,0,0,1,39.17908,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.75578,Benedict Huts,,0,1,,,http://www.huts.org/images/hut_bene_by_lou.jpg,0,1,Sawatch Range,1,0,0,,7.7,Colorado,2,10th Mountain Division Huts,Hut
,10th Mountain Division Hut Association,,http://www.huts.org/,,3157,2,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/mcnamara.html,0,0,1,0,0,1,39.23325,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.73883,McNamara Hut,,0,1,,,http://www.huts.org/images/hut_mcnamara_pcd2_wint.jpg,0,1,Sawatch Range,1,0,0,,7.7,Colorado,1,10th Mountain Division Huts,Hut
Gated Road,10th Mountain Division Hut Association,,http://www.huts.org/,,3444,1,16,16,16,United States,2012-11-01,White River National Forest,0,,,,33,33,,0,0,http://www.huts.org/The_Huts/margys.html,0,0,1,0,0,1,39.27528,3,http://www.huts.org/In_The_Field/gps_info.html,1,-106.71347,Margy’s Hut,0.5,1,1,,,http://www.huts.org/images/hut_margys-winter_pcd48.jpg,0,1,Sawatch Range,1,0,0,,10.1,Colorado,1,10th Mountain Division Huts,Hut
