access_no_snow,agency_name,agency_parent,agency_url,alternate_names,altitude_meters,backcountry,capacity_hut_max,capacity_hut_min,capacity_max,country,date_updated,designations,discretion,fee_hut_max,fee_hut_min,fee_hut_occupancy_max,fee_person_max,fee_person_min,fee_person_occupancy_min,has_optional_services,has_services,hut_url,is_fee_hut,is_fee_hut_occupancy_max,is_fee_person,is_fee_person_occupancy_min,is_restricted,is_snow_min_km,latitude,location_accuracy,location_references,locked,longitude,name,no_snow_min_km,open_summer,open_winter,photo_credit_name,photo_credit_url,photo_url,private,published,region,reservations,restriction,services,show_satellite,snow_min_km,state,structures,systems,types
,Wells Gray Adventures,,http://www.skihike.com/,,1859,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://www.skihike.com/site/lodges_-_terrain.html#Trophy_Mountain_and_Fight_Meadow_Lodges,,0,,0,,,51.91927,,,1,-119.90244,Fight Meadow Chalet,,,,,,,1,1,,1,,,,,British Columbia,1,,Hut
,Wells Gray Adventures,,http://www.skihike.com/,,2063,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://www.skihike.com/site/lodges_-_terrain.html#Trophy_Mountain_and_Fight_Meadow_Lodges,,0,,0,,,51.76600,,,1,-119.82792,Trophy Mountain Chalet,,,,,,,1,1,,1,,,,,British Columbia,1,,Hut
,White Cap Alpine,,http://www.whitecapalpine.ca/,,1860,2,14,14,,Canada,2012-04-05,,,,,,,,,,,http://www.whitecapalpine.ca/travel-planning/,,0,,0,,,50.67790,3,,,-122.57390,McGillivray Pass Lodge,,,,,,,1,1,,1,,,,,British Columbia,1,,Lodge
Trail,Yellowhead Outdoor Recreation Association,,,,1729,2,,,,Canada,2012-04-05,,,,,,,,,,,http://summitsearch.org/features/38619-clemina-cabin,,0,,0,,,52.53804,,,,-118.94656,Clemina Cabin,8.5,,,,,,0,1,,,,,,,British Columbia,1,,Hut
,Yellowhead Outdoor Recreation Association,,,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.sitesandtrailsbc.ca/search/search-result.aspx?site=REC6481&districtCode=RDHW&type=Site,,0,,0,,,51.85872,,,,-119.18953,McKirdy Cabin,,,,,,,0,1,,,,,,,British Columbia,1,,Hut
,Yellowhead Outdoor Recreation Association,,,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.trailpeak.com/trail-West-Ridge-cabin-near-Valemont-BC-2954,,0,,0,,,52.75656,1,,,-119.39839,Westridge Cabin,,,,,,,0,1,,,,,,,British Columbia,1,,Hut
,Ymir Yurts,,http://www.kootenayexperience.com/yurts.htm,,1920,2,8,8,,Canada,2012-04-05,,,,,,,,,,,http://www.kootenayexperience.com/Yurts/YurtQua.html,,0,,0,,,49.39784,,,1,-117.10629,Qua Yurt,,,,,,,1,1,,1,,,,,British Columbia,1,,Yurt
,Ymir Yurts,,http://www.kootenayexperience.com/yurts.htm,,1890,2,6,6,,Canada,2012-04-05,,,,,,,,,,,http://www.kootenayexperience.com/YURTCATALOG/cat4_1.htm,,0,,0,,,49.38590,2,,1,-117.07426,Wildhorse Cabin,,,,,,,1,1,,1,,,,,British Columbia,1,,Hut
,Ymir Yurts,,http://www.kootenayexperience.com/yurts.htm,,1833,2,8,8,,Canada,2012-04-05,,,,,,,,,,,http://www.kootenayexperience.com/Yurts/Yurtopia.html,,0,,0,,,49.42133,,,1,-117.07354,Yurtopia Yurt,,,,,,,1,1,,1,,,,,British Columbia,1,,Yurt
,,,,,1255,2,4,4,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=183,,0,,0,,,49.49763,,,0,-123.19727,Brunswick Lake Emergency Shelter,,,,,,,0,1,,0,,,,,British Columbia,1,,Emergency Shelter
,,,,,,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=131,,0,,0,,,49.41970,,,0,-122.93720,Elsay Lake Cabin,,,,,,http://www.clubtread.com/sforum/topic.asp?TOPIC_ID=14089,0,1,,0,,,,,British Columbia,1,,Hut
,,,,,1910,2,8,8,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=174,,0,,0,,,49.03278,,,0,-120.82972,Frosty Creek Cabin,,,,,,,0,1,E. C. Manning PP,0,,,,,British Columbia,1,,Emergency Shelter
,,,,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.car-free.ca/bc-car-free/backpacking/henrietta-lake.html,,0,,0,,,49.67482,,,,-123.31783,Henrietta Lake Cabin,,,,,,http://www.flickr.com/photos/seawallrunner/sets/262213/,0,1,,,,,,,British Columbia,1,,Emergency Shelter
,,,,,1081,2,4,4,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=182,,0,,0,,,49.53833,,,0,-123.21167,Kallahne Cabin,,,,,,,0,1,,0,,,,,British Columbia,1,,Emergency Shelter
,,,,,1610,2,8,8,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=80,,0,,0,,,50.12972,,,0,-122.36305,Lizzie Creek (Lake) Cabin,,,,,,,0,1,,0,,,,,British Columbia,1,,Hut
,,,,,,2,4,4,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=144,,0,,0,,,49.47864,,,0,-123.18948,Magnesia Meadows Emergency Shelter,,,,,,,0,1,,0,,,,,British Columbia,1,,Emergency Shelter
,,,,,1963,2,6,6,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=768,,0,,0,,,49.04000,,,0,-117.03330,Ripple Ridge Cabin,,,,,,,0,1,,0,,,,,British Columbia,1,,Hut
,,,,,1556,2,8,8,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=431,,0,,0,,,49.89847,,,0,-122.99402,Sentinel Bay Glaciology Huts,,,,,,,0,1,Garibaldi PP,0,,,,,British Columbia,2,,Hut
,,,,,1535,2,4,4,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=957,,0,,0,,,50.29889,,,0,-122.36333,Snowspider Hut,,,,,,,0,1,,0,,,,,British Columbia,1,,Hut
,,,,,,2,6,6,,Canada,2012-04-05,,,,,,0,0,,,,http://www.summitpost.org/marble-meadows/433254,,0,1,0,,,49.69500,,,0,-125.63100,Wheaton Hut,,,,,,,0,1,Strathcona Provincial Park,0,,,,,British Columbia,1,,Hut
,,,,,1430,2,2,2,,Canada,2012-04-05,,,,,,0,0,,,,http://bivouac.com/FtrPg.asp?FtrId=2282,,0,1,0,,,49.69233,,,0,-122.99467,Alpen (Hidden Valley) Cabin,,,,,,,0,1,,0,,,,,British Columbia,1,,Hut
,,,,,1433,2,4,4,,Canada,2012-04-05,,,,,,0,0,,,,http://bivouac.com/FtrPg.asp?FtrId=122,,0,1,0,,,52.61500,,,0,-126.03670,Rainbow Cabin,,,,,,,0,1,Rainbow Range,0,,,,,British Columbia,1,,Hut
,,,,,,2,,,,Canada,2012-04-05,,,,,,0,0,,,,http://bivouac.com/FtrPg.asp?FtrId=428,,0,1,0,,,54.09500,,,0,-120.22500,Jarvis Lakes Cabin,,,,,,,0,1,Hart Range,0,,,,,British Columbia,1,,Hut
,,,,,1689,2,,,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=621,,0,,0,,,51.17667,,,,-122.97334,Relay Creek Cabin (Gang Ranch),,,,,,,1,1,,0,,,,,British Columbia,1,,Hut
,,,,,1756,2,,,,Canada,2012-04-05,,,,,,,,,,,http://bivouac.com/FtrPg.asp?FtrId=622,,0,,0,,,51.21167,,,,-123.11166,Graveyard Cabin (Gang Ranch),,,,,,,1,1,,0,,,,,British Columbia,1,,Emergency Shelter
14.4,Riding Mountain National Park,Parks Canada,http://www.pc.gc.ca/pn-np/mb/riding/index.aspx,,,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/mb/riding/activ/activ2/activ2_iv.aspx,,0,,0,,,50.87013,1,,,-99.86828,Cairns Cabin,,,,,,,0,1,,1,,,,,Manitoba,1,,Hut
,Kouchibouguac National Park,Parks Canada,http://www.pc.gc.ca/eng/pn-np/nb/kouchibouguac/index.aspx,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/eng/pn-np/nb/kouchibouguac/activ/hiver-winter/refuges_hiver-shelters_winter.aspx,,0,,0,,,46.82934,,,1,-64.93343,Rustic Shelters,,,,,,,0,1,,1,,,,,New Brunswick,3,,Hut
7.5 (W),Fundy National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nb/fundy/index.aspx,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/nb/fundy/activ/hiver-winter/campingHiver-winterCamping.aspx,,0,,0,,,45.55141,2,,0,-65.01793,Point Wolfe Shelter,,,,,,,0,1,,1,,,,,New Brunswick,1,,Shelter
8.5,Gros Morne National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nl/grosmorne/,,90,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/nl/grosmorne/activ/activ2g/vi.aspx#bakers,,0,,0,,,49.64844,,,,-57.86164,Bakers Brook Hut,,,,,,,0,1,,1,,,,,Newfoundland and Labrador,1,,Hut
7 to 8,Gros Morne National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nl/grosmorne/,,360,2,12,12,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/nl/grosmorne/activ/activ2g/vi.aspx#gulch,,0,,0,,,49.42031,,,,-57.93348,Southwest Gulch Hut,,,,,,,0,1,,1,,,,,Newfoundland and Labrador,1,,Hut
,Cape Breton Highlands National Park,Parks Canada,http://www.pc.gc.ca/pn-np/ns/cbreton/index.aspx,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/ns/cbreton/activ/activ6.aspx#winter,,0,,0,,,46.77623,2,,,-60.33345,Black Brook Shelter,,,,,,,0,1,,1,,,,,Nova Scotia,1,,Hut
,Cape Breton Highlands National Park,Parks Canada,http://www.pc.gc.ca/pn-np/ns/cbreton/index.aspx,,,2,,,,Canada,2012-04-05,,,,,,,,,,,http://www.pc.gc.ca/pn-np/ns/cbreton/activ/activ6.aspx#winter,,0,,0,,,46.76552,2,,,-60.35951,Mary Ann Falls Shelter,,,,,,,0,1,,1,,,,,Nova Scotia,1,,Hut
"Plane, Boat",Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.39306,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-65.47889,Overlord Emergency Shelter,0,1,,,,,0,1,Baffin Island,0,0,0,,0,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.50444,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-65.48889,Windy Lake Emergency Shelter,14.6,1,,,,,0,1,Baffin Island,0,0,0,,14.6,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,6,4,6,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.55306,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-65.33389,Thor Emergency Shelter,23.6,1,,,,,0,1,Baffin Island,0,0,0,,23.6,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.61472,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-65.22944,Summit Lake Emergency Shelter,32.2,1,,,,,0,1,Baffin Island,0,0,0,,32.2,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.68778,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-64.97083,Glacier Lake Emergency Shelter,49.4,1,,,,,0,1,Baffin Island,0,0,0,,49.4,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.76472,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-64.69167,June Valley Emergency Shelter,29.7,1,,,,,0,1,Baffin Island,0,0,0,,29.7,Nunavut,1,,"Hut, Emergency Shelter"
Off Trail,Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,66.89111,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-64.68083,Owl River Emergency Shelter,15.0,1,,,,,0,1,Baffin Island,0,0,0,,15.0,Nunavut,1,,"Hut, Emergency Shelter"
"Plane, Boat",Auyuittuq National Park,Parks Canada,http://www.pc.gc.ca/pn-np/nu/auyuittuq/index.aspx,,,2,,,,Canada,2013-01-30,,,,,,0,0,,0,0,http://www.pc.gc.ca/pn-np/nu/auyuittuq/activ/activ1.aspx,0,0,1,0,0,1,67.00889,,http://www.pc.gc.ca/pn-np/nu/auyuittuq/~/media/pn-np/nu/auyuittuq/pdf/ANP_VIP_29May2012.ashx,0,-64.66361,North Pangnirtung Fiord Emergency Shelter,0.0,1,,,,,0,1,Baffin Island,0,0,0,,0.0,Nunavut,1,,"Hut, Emergency Shelter"
,Georgian Bay Islands National Park,Parks Canada,http://www.pc.gc.ca/eng/pn-np/on/georg/index.aspx,,,2,5,5,25,Canada,2012-04-05,,,160,160,,,,,,,http://www.pc.gc.ca/eng/pn-np/on/georg/activ/activ2/activ2e/activ2ei.aspx,1,0,,0,,,44.87953,,,,-79.83520,Cedar Springs Cabins,,,,,,,0,1,,1,,,,,Ontario,5,,Hut
,Georgian Bay Islands National Park,Parks Canada,http://www.pc.gc.ca/eng/pn-np/on/georg/index.aspx,,,2,2,2,10,Canada,2012-04-05,,,140,140,,,,,,,http://www.pc.gc.ca/eng/pn-np/on/georg/activ/activ2/activ2e/activ2eii.aspx,1,0,,0,,,44.87953,,,,-79.83520,Christian Beach Cabins,,,,,,,0,1,,1,,,,,Ontario,5,,Hut
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.71047,,,,-70.61517,Jean-Pierre Cadot,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
0.8,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.74583,,,,-70.50833,Le Boudreault,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.80472,,,,-70.49667,Le Bihoreau,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
0.5,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.85778,,,,-70.39722,Le Prophète,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.91000,,,,-70.27750,Le Donohue,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.84583,,,,-70.12417,Le Castor,,,,,,,,1,,1,,,,,Quebec,1,,Refuge
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.70963,,,,-70.60788,L'Écureuil,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
0,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.74278,,,,-70.49972,La Marmotte,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
0,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.80549,,,,-70.48369,La Chouette,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
0.5,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.85772,,,,-70.39734,Le Geai Bleu,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.91136,,,,-70.27561,Le Coyote,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.84605,,,,-70.12038,L'Épervier,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.68482,,,,-70.63845,Le Dôme,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
,Traversée de Charlevoix,,http://www.traverseedecharlevoix.qc.ca/,,,2,,,,Canada,2012-04-05,,,,,,,,,,,,,0,,0,,,47.68354,,,,-70.63710,L'Eudore,,,,,,,,1,,1,,,,,Quebec,1,,Chalet
,Kahu Hikuwai,,,,1267,2,4,4,,New Zealand,2012-04-05,,,,,,,,,,,http://www.tramper.co.nz/?6311,,0,,0,,,-39.26985,,,,176.21383,Mount Meany Flats Hut,,,,,,,0,1,,1,,,,,North Island,1,,Hut
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,2040,2,20,20,,New Zealand,2012-04-05,,,,,,25,15,,,,http://alpineclub.org.nz/hut/ruapehu,,0,1,0,,,-39.25700,,,1,175.55500,Ruapehu Hut,,,,,,,0,1,Mount Ruapehu,1,,,,,North Island,1,,Hut
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,,0,,,,New Zealand,2012-04-05,,,,,,25,15,,,,http://alpineclub.org.nz/hut/tukino,,0,1,0,,,-39.27610,,,1,175.61000,Tukino Lodge,,,,,,,0,1,Mount Ruapehu,1,,,,,North Island,1,,Lodge
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,2080,2,6,6,,New Zealand,2012-04-05,,,,,,10,5,,,,http://alpineclub.org.nz/hut/whangaehu,,0,1,0,,,-39.28243,,,0,175.58882,Whangaehu Hut,,,,,,,0,1,Mount Ruapehu,1,,,,,North Island,1,,Hut
,Wanganui High School,,,,1380,2,8,8,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.tramper.co.nz/?5999,,0,1,0,,,-39.33281,,,0,175.52220,Lupton Hut,,,,,,,0,1,Tongariro National Park,0,,,,,North Island,1,,Hut
,Winston Fleming,,,,313,2,4,4,,New Zealand,2012-04-05,,,,,,,,,,,http://www.tramper.co.nz/?2386,,0,,0,,,-37.95849,,,,176.29769,Kiwi Outback Hut,,,,,,,0,1,Kaharoa,1,,,,,North Island,1,,Hut
,,,,,,2,2,2,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.tramper.co.nz/?7699,,0,1,0,,,-37.77806,,,0,175.94342,Salvation Hut,,,,,,,0,1,Kaimai-Mamaku Forest Park,0,,,,,North Island,1,,Emergency Shelter
,,,,,880,2,4,4,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.tramper.co.nz/?6091,,0,1,0,,,-39.61039,,,0,176.24944,Mistake Bivvy,,,,,,,0,1,,0,,,,,North Island,1,,Hut
,,,,,1340,2,4,4,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.tramper.co.nz/?1633,,0,1,0,,,-39.63314,,,0,176.25302,Aranga Hut,,,,,,,0,1,,0,,,,,North Island,1,,Emergency Shelter
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,0,20,20,,New Zealand,2012-04-05,,,,,,20,8,,,,http://www.cmc.net.nz/huts/kennedy_lodge,,0,1,0,,,-42.94591,2,,1,171.56542,Kennedy Lodge,,,,,,,0,1,Arthur's Pass National Park,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,0,16,16,,New Zealand,2012-04-05,,,,,,20,8,,,,http://www.cmc.net.nz/huts/wynn_irwin,,0,1,0,,,-43.73820,2,,1,170.10082,Wyn Irwin Hut,,,,,,,0,1,Mount Cook National Park,0,,,,,South Island,1,,Hut
16,Canterbury Mountain Club,,http://www.cmc.net.nz/,,1275,2,9,9,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/cameron_hut,,0,1,0,,,-43.36708,3,,0,171.01812,Cameron Hut,,,,,,,0,1,Arrowsmith Range,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,2,6,6,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/banfield_hut,,0,1,0,,,-43.29601,2,,0,171.05856,Bruce Banfield Memorial Hut,,,,,,,0,1,Arrowsmith Range,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,2,,,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/lyell_hut,,0,1,0,,,-43.29915,3,,0,170.90972,Lyell Hut,,,,,,,0,1,Arrowsmith Range,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,2,10,10,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/barker_hut,,0,1,0,,,-42.98888,,,0,171.39772,Neville Barker Memorial Hut,,,,,,,0,1,Arthur's Pass National Park,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,900,2,8,8,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/park_morpeth_hut,,0,1,0,,,-42.97177,,,0,171.34191,Park - Morpeth Memorial Hut,,,,,,,0,1,Arthur's Pass National Park,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,1300,2,6,6,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/waimak_falls_hut,,0,1,0,,,-42.91720,,,0,171.48843,Waimakariri Falls Hut,,,,,,,0,1,Arthur's Pass National Park,0,,,,,South Island,1,,Hut
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,2,,,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/eric_bivvy,,0,1,0,,,-43.40982,2,,0,170.68296,Eric's Bivvy,,,,,,,0,1,Te Kahui Kaupeka Conservation Park,0,,,,,South Island,1,,Emergency Shelter
,Canterbury Mountain Club,,http://www.cmc.net.nz/,,,2,9,9,,New Zealand,2012-04-05,,,,,,5,0,,,,http://www.cmc.net.nz/huts/st_winifreds_hut,,0,1,0,,,-43.41693,,,0,170.68315,Saint Winifred's Hut,,,,,,,0,1,Te Kahui Kaupeka Conservation Park,0,,,,,South Island,1,,Hut
,Dingleburn Station,,,,,2,4,4,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.tramper.co.nz/?7202,,0,1,0,,,-44.49388,,,0,169.40016,Moonlight and Roses Hut,,,,,,,0,1,,0,,,,,South Island,1,,Hut
,Glen Lyon Station,,,,600,2,4,4,,New Zealand,2012-04-05,,,,,,,,,,,http://www.tramper.co.nz/?2112,,0,,0,,,-44.01409,,,,169.92256,Le (L. A.) Crens Hut,,,,,,,,1,,,,,,,South Island,1,,Hut
,Godley Station,,,,860,2,6,6,,New Zealand,2012-04-05,,,,,,,,,,,http://www.tramper.co.nz/?2076,,0,,0,,,-43.60255,,,,170.47645,Rankin Hut,,,,,,,,1,,,,,,,South Island,1,,Hut
,Mt. Brown Hut Community Project Team,,http://www.facebook.com/mtbrownhut,,1120,2,4,4,,New Zealand,2012-04-05,,,,,,0,0,,,,http://www.facebook.com/mtbrownhut,,0,1,0,,,-42.86909,,,0,171.19973,Mount Brown Hut,,,,,,,0,1,,0,,,,,South Island,1,,Hut
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,,0,48,48,,New Zealand,2012-04-05,,,,,,30,15,,,,http://alpineclub.org.nz/hut/unwin,,0,1,0,,,-43.75870,,,,170.11700,Unwin Lodge,,,,,,,0,1,Aoraki Mount Cook National Park,1,,,,,South Island,1,,Lodge
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,,0,28,28,,New Zealand,2012-04-05,,,,,,25,15,,,,http://alpineclub.org.nz/hut/arthurs-pass,,0,1,0,,,-42.94207,,,1,171.56168,Arthur's Pass Lodge,,,,,,,0,1,Arthur's Pass National Park,1,,,,,South Island,1,,Lodge
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,,0,4,4,,New Zealand,2012-04-05,,,,,,10,5,,,,http://alpineclub.org.nz/hut/cascade,,0,1,0,,,-44.49283,,,1,168.66820,Cascade Hut,,,,,,,0,1,Mount Aspiring National Park,1,,,,,South Island,1,,Hut
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,,0,20,20,,New Zealand,2012-04-05,,,,,,25,15,,,,http://alpineclub.org.nz/hut/porter,,0,1,0,,,-43.46600,,,1,170.00931,H.E.L. Porter Memorial Lodge,,,,,,,0,1,Westland National Park,1,,,,,South Island,1,,Lodge
,New Zealand Alpine Club,,http://alpineclub.org.nz/,,900,0,30,30,,New Zealand,2012-04-05,,,,,,25,15,,,,http://alpineclub.org.nz/hut/homer,,0,1,0,,,-44.76639,,,0,168.00259,Homer Hut,,,,,,,0,1,Fiordlands National Park,0,,,,,South Island,1,,Hut
